text,processed_text,vader_neg,vader_neu,vader_pos,compound,roberta_neg,roberta_neu,roberta_pos,label
i feel rebellious and i like it,"['feel', 'rebellious', 'like']",0.286,0.39,0.325,0.0772,0.023713512,0.18135054,0.794936,Anger
i feel completely agitated and full of blame,"['feel', 'completely', 'agitated', 'full', 'blame']",0.532,0.468,0.0,-0.6901,0.9203336,0.072259344,0.007406974,Anger
i feel like a witch bc im aggravated and i want to go over there but like i dunno,"['feel', 'like', 'witch', 'bc', 'im', 'aggravated', 'want', 'go', 'like', 'dunno']",0.186,0.504,0.31,0.3506,0.9026309,0.089745045,0.0076240217,Anger
i feel really bitchy for doing this but im really iffy about who can read my journal and stuff x x if you want another chance or want to try and be friends again comment on my friends only post,"['feel', 'really', 'bitchy', 'im', 'really', 'iffy', 'read', 'journal', 'stuff', 'x', 'x', 'want', 'another', 'chance', 'want', 'try', 'friend', 'comment', 'friend', 'post']",0.049,0.66,0.292,0.8861,0.76421386,0.2142259,0.021560205,Anger
i feel rude but i move past it immediately,"['feel', 'rude', 'move', 'past', 'immediately']",0.25,0.75,0.0,-0.25,0.7928747,0.19436155,0.012763739,Anger
i had been having a heated argument with a lover whose intention was that we should marry in the near future and was rejected by her when i started to cry when i stopped crying for a moment she said there,"['heated', 'argument', 'lover', 'whose', 'intention', 'marry', 'near', 'future', 'rejected', 'started', 'cry', 'stopped', 'cry', 'moment', 'said']",0.298,0.621,0.081,-0.8442,0.7563555,0.22898553,0.014658964,Anger
i might be the only one to believe in this comparison and some men might feel offended by my concept but to me shoes are far more than just footwear,"['might', 'one', 'believe', 'comparison', 'men', 'might', 'feel', 'offended', 'concept', 'shoe', 'far', 'footwear']",0.051,0.949,0.0,-0.128,0.57303953,0.39248163,0.034478825,Anger
i feel irritable and pissy and unhappy and lazy and antsy all at once,"['feel', 'irritable', 'pissy', 'unhappy', 'lazy', 'antsy']",0.457,0.543,0.0,-0.8126,0.9225065,0.066380225,0.011113229,Anger
i feel like i am a celebrity for no reason like people are resentful i didn t have to play bars for years to get a record deal,"['feel', 'like', 'celebrity', 'reason', 'like', 'people', 'resentful', 'play', 'bar', 'year', 'get', 'record', 'deal']",0.178,0.572,0.249,0.2732,0.8305479,0.15858062,0.010871465,Anger
i get the feeling they are mad or annoyed at me,"['get', 'feeling', 'mad', 'annoyed']",0.406,0.49,0.105,-0.6486,0.667914,0.3170697,0.015016287,Anger
i hate feeling envious and i see it as an alarm warning saying there is something awry in your world christine,"['hate', 'feeling', 'envious', 'see', 'alarm', 'warning', 'saying', 'something', 'awry', 'world', 'christine']",0.406,0.536,0.057,-0.8442,0.9285973,0.06598469,0.0054179523,Anger
i feel so irritated now,"['feel', 'irritated']",0.523,0.477,0.0,-0.5095,0.88091785,0.1038986,0.015183577,Anger
i was surprised at my feeling offended,"['surprised', 'feeling', 'offended']",0.238,0.357,0.405,0.1027,0.7545502,0.2289816,0.01646817,Anger
i write i feel a little dissatisfied,"['write', 'feel', 'little', 'dissatisfied']",0.435,0.565,0.0,-0.3197,0.84731144,0.14295717,0.009731349,Anger
at home when they lost three pieces of my puzzle,"['home', 'lost', 'three', 'piece', 'puzzle']",0.204,0.796,0.0,-0.3182,0.6088366,0.36524493,0.025918452,Anger
i really should have turned back at that point but i was feeling stubborn and i was half way there,"['really', 'turned', 'back', 'point', 'feeling', 'stubborn', 'half', 'way']",0.175,0.739,0.086,-0.4215,0.7250052,0.2526291,0.022365736,Anger
i feel agitated when i see that girl is talking with someone else and laughing,"['feel', 'agitated', 'see', 'girl', 'talking', 'someone', 'else', 'laughing']",0.174,0.64,0.186,0.0516,0.8420295,0.1493755,0.008594968,Anger
